first row nr, abbadingo trace, state sequence, score sequence, alignment, num misaligned, nw-alignment, norm-nw-score, nw-mismatches, sum scores, mean scores, min score,Column1
10," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-4.01774,-2.82418,-2.82418,-2.93172,-2.82418,-2.82418,-2.93172,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [1,5,12,18,29,50,88,147,232,345,482,645,820,482/+,482,482,482,482,482,1002,1314,1715,1715,1715,1715]",0.996667,1, -28.4074, -1.05213, -4.01774,
11," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
12," ""1 19 5 5 22 5 11 9 26 26 11 9 11 9 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,147,234,348,485,645,645,345,482,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.997813,-0.00306906,-0.0858814,-0.0133957,-2.83421,-1.91308,-0.418024,-0.397616,-0.0381838,-4.10276,-4.51529,-0.01846,-4.68246,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [1,4,12,18,29,50,234/+,348,485,645,645,345,482,1002,1314,1715,1715,1715,1715]",0.991228,1, -22.9241, -1.09162, -4.68246,
13," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.93172,-2.82418,-2.93172,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715,1715/-,635/+,635,809,1715/+,1715]",0.977273,4, -23.951, -0.997957, -7.46006,
14," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.78094, -0.289047, -1.39273,
15," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.78094, -0.289047, -1.39273,
16," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.997813,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.82493, -0.291247, -1.39273,
17," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
18," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
19," ""1 19 5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-1.91308,-0.418024,-0.397616,-0.0381838,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715]",1,0, -7.82173, -0.391086, -1.91308,
20," ""1 25 5 5 5 22 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-4.01774,-2.82418,-2.82418,-2.93172,-2.82418,-2.82418,-2.93172,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [1,4,10,18,29,50,88,147,232,345,482,645,820,482/+,482,482,482,482,482,1002,1314,1715,1715,1715,1715]",0.996667,1, -27.9105, -1.03372, -4.01774,
21," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.78094, -0.289047, -1.39273,
22," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
23," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
24," ""1 13 5 5 22 5 11 9 26 26 11 9 11 9 26"""," [1,4,12,18,29,50,24,44,81,81,81,348,485,645,820,820]"," [-0.302039,-0.326728,-0.997813,-0.00306906,-0.0858814,-0.0133957,-2.83421,-0.382262,-0.161455,-1.35849,-4.05396,-4.05396,-0.397616,-0.0381838,-0.267709,-2.15895]"," [1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1]",2," [1,4,12,18,29,50,234/+,348,485,645,645,345,482]",0,1, -17.4357, -1.08973, -4.05396,
25," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
26," ""1 19 22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-1.21288,0,-0.313092,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -6.78866, -0.339433, -1.39273,
27," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 4 3 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-4.01774,-2.82418,-2.93172,-2.82418,-2.82418,-2.82418,-2.93172,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [1,5,12,18,29,50,88,147,232,345,482,645,820,482/+,482,482,482,482,482,1002,1314,1715,1715,1715,1715]",0.996667,1, -28.4074, -1.05213, -4.01774,
28," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
29," ""1 31 22 5 5 5 26 11 9 26 26 11 9 11 9 3 4 3 3 3 4 4 3 3 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,139,222,335,335,335,472,635,809,987,645,645,645,645,645,645,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.0164551,-0.0285091,-2.77259,-2.77259,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.82418,-2.93172,-2.82418,-2.82418,-2.82418,-2.93172,-2.93172,-2.82418,-2.82418,-2.93172,-2.82418,-2.82418,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2," [2,7,14,24,44,222/+,335,335,335,472,635,809,987,1715/+,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1002/+,635/+,635,809,1715/+,1715]",0.983871,5, -54.8065, -1.61196, -7.46006,
30," ""1 13 5 5 22 5 11 9 11 9 11 9 26 26 26"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,820]"," [-0.302039,-0.326728,-0.997813,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-2.15895]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820]",1,0, -4.58193, -0.327281, -2.15895,
31," ""1 13 5 22 5 5 11 9 11 9 26 26 11 9 26"""," [1,5,12,18,29,50,88,147,234,348,485,645,820,820]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-1.91308,-0.418024,-0.397616,-0.0381838,-0.267709,-2.15895]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,234,348,485,645,820]",1,0, -7.07566, -0.505404, -2.15895,
32," ""1 23 5 5 5 22 11 9 11 9 11 9 26 26 26 4 3 4 2 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-4.01774,-2.93172,-2.82418,-2.93172,-4.03471,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1]",1," [1,4,10,18,29,50,88,147,232,345,482,645,820,482/+,482,482,482,1002,1314,1715,1715,1715,1715]",0.996377,1, -23.4727, -0.938906, -4.03471,
33," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
34," ""1 19 22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,987/-,345/+,345,809/+,1715/+,1715]",0.973684,4, -13.8147, -0.657845, -7.46006,
35," ""1 19 5 22 5 5 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,50,88,147,232,345,482,645,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-2.19302,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,234/+,88/+,147,232,345,482,645,1002,1314,1715,1715,1715,1715]",0.986842,2, -9.15485, -0.457743, -2.57548,
36," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.997813,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.82493, -0.291247, -1.39273,
37," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 3 2 2 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.82418,-4.03471,-4.03471,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715,1715/-,345/+,345,809/+,1715/+,1715]",0.977273,5, -26.1569, -1.08987, -7.46006,
38," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.78094, -0.289047, -1.39273,
