first row nr, abbadingo trace, state sequence, score sequence, alignment, num misaligned, nw-alignment, norm-nw-score, nw-mismatches, sum scores, mean scores, min score
10," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1004,1321,1727,1005,1323,1005,1323,1732,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-2.71578,-0.554608,-0.0876473,-4.18205,-0.443205,-2.26484,-0.443205,-0.131336,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1]",2," [1,5,12,18,29,50,88,147,232,345,482,645,820,1004,1321,1727,1727/-,1727/-,1727/-1732/+|,1002,1314,1715,1715,1715,1715]",0.97, 4, -15.6197, -0.557847, -4.18205
11," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
12," ""1 19 5 5 22 5 11 9 26 26 11 9 11 9 26 23 23 23 21 21 21""", [], [], [],0," [1,4,12,18,29,50,90,348/+,485,645,355/+,482,645,1002/+,1314,1715,1715,1715,1715]",0.982456, 3 0, 0, 0,
13," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1005,1323,1732,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-1.48808,-0.443205,-0.131336,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,1005,1323,1732,1002,1314,1715,1715,1715,1715]",1, 0, -6.98733, -0.303797, -1.48808
14," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.67332, -0.233666, -1.38639
15," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.67332, -0.233666, -1.38639
16," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.71732, -0.235866, -1.38639
17," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
18," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
19," ""1 19 5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-1.89482,-0.212662,-0.236863,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -6.35458, -0.317729, -1.89482
20," ""1 25 5 5 5 22 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1004,1321,1727,1005,1323,1005,1323,1732,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-2.71578,-0.554608,-0.0876473,-4.18205,-0.443205,-2.26484,-0.443205,-0.131336,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1]",2," [1,4,10,18,29,50,88,147,232,345,482,645,820,1004,1321,1727,1727/-,1727/-,1727/-1732/+|,1002,1314,1715,1715,1715,1715]",0.97, 4, -15.1243, -0.540154, -4.18205
21," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.67332, -0.233666, -1.38639
22," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
23," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
24," ""1 13 5 5 22 5 11 9 26 26 11 9 11 9 26""", [], [], [],0," [1,4,12,18,29,50,90,348/+,485,645,355/+,482,645]",0.980769, 2 0, 0, 0,
25," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
26," ""1 19 22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-1.2,0,-0.154151,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -5.67018, -0.283509, -1.38639
27," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 4 3 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1004,820,1005,1323,1005,1323,1005,1323,1732,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-2.71578,-0.554608,-2.68028,-0.443205,-2.26484,-0.443205,-2.26484,-0.443205,-0.131336,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1]",3," [1,5,12,18,29,50,88,147,232,345,482,645,820,1004,1727/+1732/+|,1321/+1323/+|,1321/+1323/+|,1321/+1323/+|,1727/+1732/+|,1002,1314,1715,1715,1715,1715]",0.97, 10, -16.7383, -0.577184, -2.71578
28," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
29," ""1 31 22 5 5 5 26 11 9 26 26 11 9 11 9 3 4 3 3 3 4 4 3 3 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,24,42,75,75,24,44,44,44,44,809,987,1294,987,1005,1323,820,1004,1321,1727,820,1005,1323,1005,1323,1732,1005,1323,1324,1732,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-1.2,0,-2.08475,-2.08475,-0.373318,-2.60269,-4.96981,-2.60269,-2.60269,0,-1.28001,-0.593327,-1.48808,-0.443205,-2.26484,-2.71578,-0.554608,-0.0876473,-4.18205,-2.68028,-0.443205,-2.26484,-0.443205,-0.131336,-5.37528,-0.443205,-2.26484,-0.178075,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1]",9," [2,7,14,24,44,137/+,220,220/-645/+|,820,485/+,645,472/+,635,1294/+,1732/+,1323/+1692/+|,1323/+1692/+|,1323/+1692/+|,1732/+,1732/-,1732/-1732/+|,1732/+1732/+|,1732/+1732/+|,1732/+1732/+|,1732/+1732/+|,1002,1314,1715,1715,1715,1715]",0.905914, 25, -51.0807, -1.24587, -5.37528
30," ""1 13 5 5 22 5 11 9 11 9 11 9 26 26 26"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,820]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-1.5215]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820]",1, 0, -3.44707, -0.246219, -1.5215
31," ""1 13 5 22 5 5 11 9 11 9 26 26 11 9 26"""," [1,5,12,18,29,50,88,147,234,348,485,645,820,820]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-1.89482,-0.212662,-0.236863,0,-0.000565611,-1.5215]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,234,348,485,645,820]",1, 0, -5.57973, -0.398552, -1.89482
32," ""1 23 5 5 5 22 11 9 11 9 11 9 26 26 26 4 3 4 2 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1005,1323,1732,1732,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-2.68028,-0.443205,-0.131336,-0.763464,-0.665748,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1005,1323,1732,1732,1002,1314,1715,1715,1715,1715]",1, 0, -8.31991, -0.346663, -2.68028
33," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
34," ""1 19 22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-1.13618,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,1002,1314,1715,1715,1715,1715]",1, 0, -5.39514, -0.269757, -1.38639
35," ""1 19 5 22 5 5 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,90,151,239,355,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-2.7366,-0.227679,-0.00569802,-0.040822,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,90,151,239,355,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -7.43652, -0.371826, -2.7366
36," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.71732, -0.235866, -1.38639
37," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 3 2 2 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1294,987,1293,987,1293,987,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-1.28001,-0.593327,-1.74231,-2.17125,-1.74231,-2.17125,-1.13618,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1]",3," [2,7,14,24,44,81,139,222,335,472,635,809,987,1294,1732/+,1732,1002,1314,1715,1715,1715,1715]",0.992424, 1, -15.0956, -0.5806, -2.17125
38," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.67332, -0.233666, -1.38639
39," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000565611,-0.542037,0,0,-0.287774,-0.287774,-0.287774,-1.38639]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1, 0, -4.17792, -0.208896, -1.38639
