first row nr, abbadingo trace, state sequence, score sequence, alignment, num misaligned, nw-alignment, nw-score, norm-nw-score, nw-mismatches, sum scores, mean scores, min score,Column1,0.966650425
10," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,820,820,820,820,820,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-2.77381,-2.77381,-2.81893,-2.77381,-2.77381,-2.81893,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,820/+,820/+,820/+,820/+,820/+,820/+,1002,1314,1715,1715,1715,1715,]",32,0.94,6,,-21.3873,-0.82259,-2.81893,
11," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
12," ""1 19 5 5 22 5 11 9 26 26 11 9 11 9 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,24,44,81,81,81,348,485,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-4.70077,-0.373318,-0.0844893,-1.9064,-4.59764,-4.59764,-0.236863,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1]",2," [1,4,12,18,29,50,234/+,348,485,645,645/+,345/+,482,1002/+,1314,1715,1715,1715,1715,]",30,0.964912,4,,-20.9477,-0.95217,-4.70077,
13," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,987,987,987,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-1.48808,-1.28001,-1.48808,-1.48808,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,987/+,987/+,987/+,987/+,987/+,987/+,1715/+|987/+,1715/+,1715,]",23,0.920455,9,,-10.5264,-0.4386,-1.48808,
14," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.65421,-0.23271,-1.38629,
15," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.65421,-0.23271,-1.38629,
16," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.69821,-0.23491,-1.38629,
17," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
18," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
19," ""1 19 5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-1.89482,-0.212662,-0.236863,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,234,348,485,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-6.33547,-0.316773,-1.89482,
20," ""1 25 5 5 5 22 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,820,820,820,820,820,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-2.77381,-2.77381,-2.81893,-2.77381,-2.77381,-2.81893,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,820/+,820/+,820/+,820/+,820/+,820/+,1002,1314,1715,1715,1715,1715,]",32,0.94,6,,-20.8919,-0.803536,-2.81893,
21," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.65421,-0.23271,-1.38629,
22," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
23," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
24," ""1 13 5 5 22 5 11 9 26 26 11 9 11 9 26"""," [1,4,12,18,29,50,24,44,81,81,81,348,485,645,820,820]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-4.70077,-0.373318,-0.0844893,-1.9064,-4.59764,-4.59764,-0.236863,0,-0.000305951,-1.50576]"," [1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1]",2," [1,4,12,18,29,50,234/+,348,485,645,645/+,345/+,482,]",0,0,3,,-19.6806,-1.23004,-4.70077,
25," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
26," ""1 19 22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-1.2,0,-0.154151,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-5.65107,-0.282553,-1.38629,
27," ""1 25 5 22 5 5 11 9 11 9 11 9 26 26 26 3 4 3 3 3 4 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,820,820,820,820,820,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-2.77381,-2.81893,-2.77381,-2.77381,-2.77381,-2.81893,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,820/+,820/+,820/+,820/+,820/+,820/+,1002,1314,1715,1715,1715,1715,]",32,0.94,6,,-21.3873,-0.82259,-2.81893,
28," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
29," ""1 31 22 5 5 5 26 11 9 26 26 11 9 11 9 3 4 3 3 3 4 4 3 3 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,24,42,75,24,44,81,81,81,81,809,987,987,987,987,987,987,987,987,987,987,987,987,987,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-1.2,0,-3.98898,-0.373318,-0.0844893,-1.9064,-4.59764,-1.9064,-1.9064,0,-1.28001,-1.48808,-1.28001,-1.28001,-1.28001,-1.48808,-1.48808,-1.28001,-1.28001,-1.48808,-1.28001,-1.28001,-1.28001,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",4," [2,7,14,24,44,222/+,335,820/+|335/+|234/+,348,485,645,472/+,635,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,635/+,1314/+|635/+,1715/+,1715,1715,1715,]",14,0.870968,21,,-38.0196,-1.0561,-4.59764,
30," ""1 13 5 5 22 5 11 9 11 9 11 9 26 26 26"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,820]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-1.50576]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,]",26,1,0,,-3.43107,-0.245077,-1.50576,
31," ""1 13 5 22 5 5 11 9 11 9 26 26 11 9 26"""," [1,5,12,18,29,50,88,147,234,348,485,645,820,820]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-1.89482,-0.212662,-0.236863,0,-0.000305951,-1.50576]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,234,348,485,645,820,]",26,1,0,,-5.56374,-0.39741,-1.89482,
32," ""1 23 5 5 5 22 11 9 11 9 11 9 26 26 26 4 3 4 2 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,820,820,820,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-2.81893,-2.77381,-2.81893,-2.83444,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,820/+,820/+,820/+,820/+,1002,1314,1715,1715,1715,1715,]",34,0.956522,4,,-15.4049,-0.641872,-2.83444,
33," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
34," ""1 19 22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-inf,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,987/+,987/+,987/+,1715/+|987/+,1715/+,1715,]",26,0.947368,6,, -inf, -inf, -inf,
35," ""1 19 5 22 5 5 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21""", [], [], [],0," [1,5,12,18,29,50,234/+,485/+|88/+,645/+|147/+,232,345,482,645,1002/+,1314,1715,1715,1715,1715,]",34,0.982456,6,0,0,0,,
36," ""1 19 5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.997813,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.69821,-0.23491,-1.38629,
37," ""1 22 22 5 5 5 26 26 26 11 9 11 9 11 9 3 2 2 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,987,987,987,820,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00610689,-0.00306749,0,-1.28001,-1.74231,-1.74231,-1.74231,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,987/+,987/+,987/+,987/+,987/+,987/+,1715/+|987/+,1715/+,1715,]",23,0.920455,9,,-11.2891,-0.470379,-1.74231,
38," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.65421,-0.23271,-1.38629,
39," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00316319,-0.167683,0,0,0,-0.000305951,-0.523554,0,0,-0.287682,-0.287682,-0.287682,-1.38629]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,0,,-4.15881,-0.20794,-1.38629,
